Movie,ProductionBudget,DomesticGross,WorldwideGross
Robin Hood,99000000,30824628,85210012
The LEGO Movie 2: The Second Part,99000000,105806508,190131036
The Peanuts Movie,99000000,130178411,250091610
And Then Came Love,989000,8158,8158
The Mummy Returns,98000000,202007640,435040395
Ford v. Ferrari,97600000,117624357,224449896
Alien: Covenant,97000000,74262031,238521247
Gangs of New York,97000000,77730500,183124621
Jesse,950000,0,0
Trance,950000,0,0
Banshee Chapter,950000,0,78122
AntÃ´nia - O Filme,950000,3550,289789
Charly,950000,814666,814666
Hard Candy,950000,1024640,8267066
Ask Me Anything,950000,0,0
Sex and the City 2,95000000,95347692,294680778
The Road to El Dorado,95000000,50802661,65700000
The Campaign,95000000,86907746,104907746
Percy Jackson & the Olympians: The Lightning Thief,95000000,88768303,223050874
Black Hawk Down,95000000,108638745,159691085
Ice Age: Continental Drift,95000000,161321843,879765137
Cinderella,95000000,201151353,534551353
Unstoppable,95000000,81562942,165720921
The Lovely Bones,95000000,44114232,94894448
Ben-Hur,95000000,26410477,91669648
The Fifth Element,95000000,63570862,263898761
Seventh Son,95000000,17725785,108874967
Lara Croft: Tomb Raider,94000000,131144183,273330185
Finding Nemo,94000000,380529370,936094852
Kingsman: The Secret Service,94000000,128261724,404561724
The Lord of the Rings: The Return of the King,94000000,377845905,1120224046
The Lord of the Rings: The Two Towers,94000000,342548984,919148764
L!fe Happens,930000,30905,30905
Rise of the Planet of the Apes,93000000,176760185,470986200
Jurassic Park III,93000000,181166115,365900000
The Spiderwick Chronicles,92500000,71195053,162839667
Cutthroat Island,92000000,10017322,18517322
A Good Day to Die Hard,92000000,67349198,304249198
The Incredibles,92000000,261441092,631441092
The Alamo,92000000,22406362,23911362
Lowriders,916000,6179955,6188421
Food Chains,913000,0,176
On the Waterfront,910000,9600000,9600000
The Secret Life of Walter Mitty,91000000,58236838,187861183
The Giant Mechanical Man,900000,7396,7396
Le bonheur d'Elza,900000,0,0
The Miseducation of Cameron Post,900000,905111,2019874
40 Weeks,900000,0,0
Meet the Blacks,900000,9097072,9097072
Fruitvale Station,900000,16098998,17549645
4 luni 3 saptamani si 2 zile,900000,1196321,11993156
Circumstance,900000,454121,958978
The Quiet,900000,381420,381420
The Brass Teapot,900000,6997,413733
Die Hard: With a Vengeance,90000000,100012499,366101666
Rio,90000000,143619809,487519809
You Don't Mess With the Zohan,90000000,100018837,202910991
Contact,90000000,100920329,165900000
The Girl with the Dragon Tattoo,90000000,102515793,239373970
Tropic Thunder,90000000,110515313,191145256
Mulan,90000000,120620254,303500000
Charlie's Angels,90000000,125305545,259736090
The Departed,90000000,132384315,289660619
Once Upon a Timeâ¦in Hollywood,90000000,142502728,376158396
Bad Boys For Life,90000000,204417855,424288079
Sonic The Hedgehog,90000000,146066470,305039443
What Lies Beneath,90000000,155464351,288693989
Ice Age: Dawn of the Dinosaurs,90000000,196573705,886686817
Sherlock Holmes,90000000,209028679,498438212
Rush Hour 2,90000000,226164286,347425832
Toy Story 2,90000000,245852179,511358276
Men in Black,90000000,250690539,587790539
Jumanji: Welcome to the Jungle,90000000,404508916,961230193
Alvin and the Chipmunks: The Road Chip,90000000,85886987,249517956
The Magnificent Seven,90000000,93432655,162136124
Spider-Man: Into The Spider-Verse 3D,90000000,190173195,375040414
Atlantis: The Lost Empire,90000000,84052762,186049020
Tomb Raider,90000000,58250803,273477501
Valkyrie,90000000,83107829,203932174
Army of the Dead,90000000,0,0
Bright,90000000,0,0
The Nutcracker in 3D,90000000,195459,20466016
The Promise,90000000,8224288,10551417
The Three Musketeers,90000000,20377913,139877913
K-19: The Widowmaker,90000000,35168966,65716126
The Devil's Own,90000000,42885593,140900000
Volcano,90000000,47546796,120100000
King Arthur,90000000,51877963,203653524
Bicentennial Man,90000000,58220776,87420776
Conan the Barbarian,90000000,21295021,63356133
Mission to Mars,90000000,60874615,106000000
The Saint,90000000,61363304,169400000
Spy Game,90000000,62362560,143049560
Now You See Me 2,90000000,65075540,328325007
Lara Croft: Tomb Raider: The Cradle of Life,90000000,65653758,157092943
Percy Jackson: Sea of Monsters,90000000,68559554,200859554
The Interpreter,90000000,72708161,162753837
Hollow Man,90000000,73209340,191200000
The Haunted Mansion,90000000,75817994,155750628
Artificial Intelligence: AI,90000000,78616689,235900000
Pixels,90000000,78765986,244041804
Gunless,9900000,458054,458054
Friend Request,9900000,3759078,11310835
Adventureland,9800000,16044025,17553055
Amour,9700000,6738954,36787044
The Lost City,9600000,2484186,5256839
Truth,9600000,2541854,6842580
Re-Kill,9500000,0,0
Gentlemen Broncos,9500000,115155,119955
The Runaways,9500000,3573673,5278632
Dangal,9500000,12391761,305149461
Poltergeist III,9500000,14114000,14114000
You Only Live Twice,9500000,43100000,111600000
Next Friday,9500000,57176582,59675307
Melancholia,9400000,3030848,21817298
Volver,9400000,12899867,87226613
It's a Mad Mad Mad Mad World,9400000,46300000,60000000
Words on Bathroom Walls,9300000,2541947,2544196
Heavy Metal,9300000,19571091,19571091
Jab Tak Hai Jaan,9200000,3047539,5806666
Richard III,9200000,2684904,4199334
Kites,9200000,1685269,17155193
Elle,9100000,2339735,16517708
Red Dog,9100000,0,20927794
Mine Vaganti,9100000,0,18872126
Zarafa,9100000,0,14709816
Velvet Goldmine,9000000,1053788,4313644
Skin Trade,9000000,1242,1242
Veronika Decides to Die,9000000,0,2243
Beneath Hill 60,9000000,0,3440939
Les gamins,9000000,0,15660664
Opal Dream,9000000,14443,14443
Set It Off,9000000,36049108,36049108
Leaves of Grass,9000000,70066,85527
Flammen og Citronen,9000000,148089,1635241
Red Riding: The Year of Our Lord 1974,9000000,148826,148826
La fille du RER,9000000,208163,208163
Dheepan,9000000,248795,7704357
The Strangers,9000000,52597610,83051676
Due occhi diabolici,9000000,349618,349618
The Legend of Suriyothai,9000000,454255,461581
Princess Kaiulani,9000000,883887,883887
All or Nothing,9000000,184255,184255
The Sapphires,9000000,2450867,20395040
Ouija: Origin of Evil,9000000,35144505,81831866
Jackie,9000000,13960394,36588512
Black or White,9000000,21571189,21971021
Loving,9000000,7710234,12898064
Henry V,9000000,10161099,10176701
Glee: The 3D Concert Movie,9000000,11862398,17462398
Breakin' All the Rules,9000000,12232382,12512317
The Ice Pirates,9000000,13075390,13075390
The Edge of Seventeen,9000000,14431633,19096003
The Best Man,9000000,34102780,34572780
Black Christmas,9000000,16235738,16235738
Boiler Room,9000000,16963963,28773637
The Contender,9000000,17804273,17804273
Harold & Kumar Go to White Castle,9000000,18225165,19474552
Down to You,9000000,20035310,20035310
Escape Room,9000000,57000756,155313078
Sicko,9000000,24538513,36535837
Midsommar,9000000,27426363,46843430
The Savages,9000000,6623082,10642023
Chasing Papi,9000000,6126237,12657377
The Sun is Also a Star,9000000,4950029,5680796
Hamlet 2,9000000,4886216,4934104
Igby Goes Down,9000000,4777465,5512151
PCU,9000000,4333569,4333569
The Ultimate Gift,9000000,3438735,3438735
Beautiful,9000000,3134509,3134509
Happy Death Day 2U,9000000,28148130,64686515
Gracie,9000000,2956339,3922043
Greater,9000000,2000093,2000093
Destroyer,9000000,1533324,3703064
Trust the Man,9000000,1530535,2548378
Undiscovered,9000000,1069318,1069318
Child's Play,9000000,33244684,44196684
The Curse of La Llorona,9000000,54733739,121661395
The Way of the Gun,9000000,6047856,13061935
Thunderball,9000000,63600000,141200000
Fiddler on the Roof,9000000,80500000,80500000
Barbarella,9000000,0,0
The Purge: Anarchy,9000000,71562550,111534881
A Haunting in Connecticut 2: The Ghosts of Georgia,9000000,0,0
The Texas Chainsaw Massacre,9000000,80571655,107967319
Newlyweds,9000,4584,4584
Searching,880000,26015149,76090613
Twister,88000000,241688385,495700000
Cinderella Man,88000000,61649911,105021488
The Predator,88000000,51024708,159487563
Fantastic Four,87500000,154696080,333132750
Hannibal,87000000,165092266,350100280
The Last House on the Left,87000,3100000,3100000
Seabiscuit,86000000,120277854,148715342
Bambi,858000,102797000,268000000
Snitch,850000,0,0
For a Good Time Call,850000,1251749,1386088
Latter Days,850000,833118,865708
Windsor Drive,850000,3256,3256
The Hammer,850000,442638,442638
Harrison Montgomery,850000,0,0
Arthur Christmas,85000000,46462469,149717124
Mirror Mirror,85000000,64935167,173613482
The Holiday,85000000,63280000,205190324
The Fast and the Furious: Tokyo Drift,85000000,62615510,157794205
Memoirs of a Geisha,85000000,57010853,161510853
Enemy at the Gates,85000000,51396781,96971293
Last Action Hero,85000000,50016394,137298489
The Rundown,85000000,47641743,80831893
Father's Day,85000000,28681080,35681080
xXx: Return of Xander Cage,85000000,44898413,345033359
Showtime,85000000,37948765,78948765
Meet Joe Black,85000000,44650003,44650003
Cats & Dogs: The Revenge of Kitty Galore,85000000,43585753,113026383
Collateral Damage,85000000,40048332,78353508
The Core,85000000,31111260,74120792
Scott Pilgrim vs. The World,85000000,31611316,48056764
Zodiac,85000000,33080084,83080084
Judge Dredd,85000000,34687912,113487912
Tower Heist,85000000,78046570,150422946
102 Dalmatians,85000000,66941559,66941559
Ocean's Thirteen,85000000,117144465,311744465
Open Season,85000000,85105259,191932158
Hotel Transylvania,85000000,148313048,377752514
Cast Away,85000000,233632142,427230516
Happy Feet,85000000,198000317,385000317
Ocean's Eleven,85000000,183417150,450728529
The Bourne Supremacy,85000000,176087450,311001124
Enemy of the State,85000000,111549836,250649836
Fast & Furious,85000000,155064265,363064265
Horton Hears a Who,85000000,154529439,299477886
Divergent,85000000,150947895,276014965
Air Force One,85000000,172956409,315268353
Enchanted,85000000,127706877,340384141
Safe House,85000000,126181630,208542162
I Now Pronounce You Chuck and Larry,85000000,119725280,185708462
Itâs Complicated,85000000,112735375,224614744
Shazam!,85000000,140371656,363664533
Celeste and Jesse Forever,840000,3103407,3787689
The Greatest Showman,84000000,174340174,437179429
RED 2,84000000,53262560,141507355
Nutty Professor II: The Klumps,84000000,123307945,166307945
Scooby-Doo,84000000,153294164,276294164
Sing,84000,0,0
Time Changer,825000,1500711,1500711
London to Brighton,825000,0,610776
Crying With Laughter,820000,0,16909
Jumper,82500000,80172128,222640812
Hellboy II: The Golden Army,82500000,75986503,160388063
Click,82500000,137355633,237685089
Charlotte\'s Web,82500000,82985708,143985708
The Expendables,82000000,103068524,268268174
The 6th Day,82000000,34543701,96024898
Birds of Prey (And the Fantabulous Emancipation…,82000000,84158461,201858461
The Longest Yard,82000000,158119460,191558505
Bruce Almighty,81000000,242704995,484468608
The Mudge Boy,800000,62544,62544
Vessel,800000,0,0
Kill List,800000,29063,462206
Not Cool,800000,35688,35688
The Young Unknowns,800000,58163,58163
DÃ¸d snÃ¸,800000,46742,2194020
Deterrence,800000,144583,371647
Cama adentro,800000,200433,200433
Pandora's Box,800000,881950,881950
Ruby in Paradise,800000,1001437,1001437
Raising Victor Vargas,800000,2073984,2900578
Welcome to the Dollhouse,800000,4198137,5034794
Jodaeiye Nader az Simin,800000,7098492,24426169
Billy Jack,800000,98000000,98000000
Walking with Dinosaurs,80000000,36076121,123368842
Nine,80000000,19676965,56984219
Thirteen Days,80000000,34566746,66554547
Daylight,80000000,32908290,158908290
The Last Witch Hunter,80000000,27367660,130818912
Pompeii,80000000,23169033,108469033
Battlefield Earth: A Saga of the Year 3000,80000000,21471685,29725663
Looney Tunes: Back in Action,80000000,20950820,54540662
Fantasia 2000 (Theatrical Release),80000000,69610858,69618634
Timeline,80000000,19480739,26703184
Oceans,80000000,19422319,86787530
Babe: Pig in the City,80000000,18319860,69131860
The Postman,80000000,17650704,20841123
Red Planet,80000000,17480890,33463969
Arthur et les Minimoys,80000000,15132763,113325743
Mars Attacks!,80000000,37771017,101371017
The Invasion,80000000,15074191,40147042
The Wild,80000000,37384046,99010667
Bewitched,80000000,63313159,131159306
The Brothers Grimm,80000000,37899638,105299638
Evolution,80000000,38311134,98341932
Six Days Seven Nights,80000000,74339294,164800000
Spirit: Stallion of the Cimarron,80000000,73215310,106515310
Swordfish,80000000,69772969,147080413
Zookeeper,80000000,80360866,170805525
Lost In Space,80000000,69117629,136047317
The Manchurian Candidate,80000000,65948711,96135872
DÃ©jÃ Vu,80000000,64038616,181038616
The Aeronauts,80000000,0,3438720
The Time Machine,80000000,56684819,98983590
What Dreams May Come,80000000,55485043,71485043
Mighty Joe Young,80000000,50632037,50632037
Ad Astra,80000000,50188370,135432019
The Legend of Zorro,80000000,45575336,141475336
Little Nicky,80000000,39442871,58270391
Surrogates,80000000,38577772,119668350
A Sound of Thunder,80000000,1900451,6300451
Con Air,80000000,101117573,224117573
The Pink Panther,80000000,82226474,158926474
The Mummy,80000000,155385488,416385488
Get Smart,80000000,130319208,226739416
Alvin and the Chipmunks: Chipwrecked,80000000,133107389,349088523
Grown Ups 2,80000000,133668525,247023808
Deep Impact,80000000,140464664,349464664
Lilo & Stitch,80000000,145771527,245800000
Over the Hedge,80000000,155019340,343397247
The Secret Life of Pets 2,80000000,158874395,434441844
Smallfoot,80000000,83240103,213682073
Batman Returns,80000000,162833635,266824291
Hotel Transylvania 2,80000000,169700110,469500298
The Lego Batman Movie,80000000,175750384,310570560
Mission: Impossible,80000000,180981886,457697994
The Hangover Part II,80000000,254464305,586464305
The Hunger Games,80000000,408010692,677923379
Robots,80000000,128200012,260636271
Shutter Island,80000000,128012934,299461782
Something's Gotta Give,80000000,124685242,266685242
Four Christmases,80000000,120146040,168311558
Fury,80000000,85817906,210315681
Space Jam,80000000,90463534,250180384
